代码 名称
110000 北京市
	110100 市辖区
		110101 东城区
		110102 西城区
		110105 朝阳区
		110106 丰台区
		110107 石景山区
		110108 海淀区
		110109 门头沟区
		110111 房山区
		110112 通州区
		110113 顺义区
		110114 昌平区
		110115 大兴区
		110116 怀柔区
		110117 平谷区
	110200 县
		110228 密云县
		110229 延庆县
120000 天津市
	120100 市辖区
		120101 和平区
		120102 河东区
		120103 河西区
		120104 南开区
		120105 河北区
		120106 红桥区
		120110 东丽区
		120111 西青区
		120112 津南区
		120113 北辰区
		120114 武清区
		120115 宝坻区
		120116 滨海新区
	120200 县
	120221 宁河县
	120223 静海县
	120225 蓟县
130000 河北省
	130100 石家庄市
		130101 市辖区
			130102 长安区
			130103 桥东区
			130104 桥西区	
			130105 新华区
			130107 井陉矿区
			130108 裕华区
		130121 井陉县
		130123 正定县
		130124 栾城县
		130125 行唐县
		130126 灵寿县
		130127 高邑县
		130128 深泽县
		130129 赞皇县
		130130 无极县
		130131 平山县
		130132 元氏县
		130133 赵县
		130181 辛集市
		130182 藁城市
		130183 晋州市
		130184 新乐市
		130185 鹿泉市
	130200 唐山市
		130201 市辖区
		130202 路南区
		130203 路北区
		130204 古冶区
		130205 开平区
		130207 丰南区
		130208 丰润区
		130209 曹妃甸区
		130223 滦县
		130224 滦南县
		130225 乐亭县
		130227 迁西县
		130229 玉田县
		130281 遵化市
		130283 迁安市
	130300 秦皇岛市
		130301 市辖区
			130302 海港区
			130303 山海关区
			130304 北戴河区
		130321 青龙满族自治县
		130322 昌黎县
		130323 抚宁县
		130324 卢龙县
	130400 邯郸市
		130401 市辖区
			130402 邯山区
			130403 丛台区
			130404 复兴区
			130406 峰峰矿区
		130421 邯郸县
		130423 临漳县
		130424 成安县
		130425 大名县
		130426 涉县
		130427 磁县
		130428 肥乡县
		130429 永年县
		130430 邱县
		130431 鸡泽县
		130432 广平县
		130433 馆陶县
		130434 魏县
		130435 曲周县
		130481 武安市
